"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"HIV_0000000001","PUBLISHED","2018","AFR","MRT","5600 [4500–7200]","5600.00000","4500.00000","7200.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","MUS","13 000 [10 000–15 000]","13000.00000","10000.00000","15000.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","MEX","230 000 [200 000–270 000]","230000.00000","200000.00000","270000.00000",""
"HIV_0000000001","PUBLISHED","2018","WPR","MNG","600 [530–670]","600.00000","530.00000","670.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","MNE","<500 [<500–<500]","","","",""
"HIV_0000000001","PUBLISHED","2018","EMR","MAR","21 000 [17 000–28 000]","21000.00000","17000.00000","28000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","MOZ","2 200 000 [1 700 000–2 700 000]","2200000.00000","1700000.00000","2700000.00000",""
"HIV_0000000001","PUBLISHED","2018","SEAR","MMR","240 000 [210 000–270 000]","240000.00000","210000.00000","270000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","NAM","200 000 [190 000–220 000]","200000.00000","190000.00000","220000.00000",""
"HIV_0000000001","PUBLISHED","2018","SEAR","NPL","30 000 [26 000–34 000]","30000.00000","26000.00000","34000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","NLD","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","WPR","NZL","3600 [3100–4200]","3600.00000","3100.00000","4200.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","NIC","9400 [7600–12 000]","9400.00000","7600.00000","12000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","NER","36 000 [30 000–43 000]","36000.00000","30000.00000","43000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","NGA","1 900 000 [1 400 000–2 600 000]","1900000.00000","1400000.00000","2600000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","NOR","5800 [5200–6300]","5800.00000","5200.00000","6300.00000",""
"HIV_0000000001","PUBLISHED","2018","EMR","OMN","3200 [2900–3600]","3200.00000","2900.00000","3600.00000",""
"HIV_0000000001","PUBLISHED","2018","EMR","PAK","160 000 [140 000–190 000]","160000.00000","140000.00000","190000.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","PAN","26 000 [24 000–29 000]","26000.00000","24000.00000","29000.00000",""
"HIV_0000000001","PUBLISHED","2018","WPR","PNG","45 000 [41 000–50 000]","45000.00000","41000.00000","50000.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","PRY","21 000 [16 000–31 000]","21000.00000","16000.00000","31000.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","PER","79 000 [58 000–110 000]","79000.00000","58000.00000","110000.00000",""
"HIV_0000000001","PUBLISHED","2018","WPR","PHL","77 000 [65 000–90 000]","77000.00000","65000.00000","90000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","POL","No data","","","",""
